name,year,month,retail_and_recreation_percent_change_from_baseline
Kazakhstan,2020,11,-24.866666666666667
Kazakhstan,2020,12,-22.096774193548388
Kazakhstan,2021,1,-33.32258064516129
Kazakhstan,2021,2,-27.357142857142858
Kazakhstan,2021,3,-21.695652173913043
Kenya,2020,2,1.210144927536232
Kenya,2020,3,-8.825823223570191
Kenya,2020,4,-37.19251336898396
Kenya,2020,5,-31.453125
Kenya,2020,6,-20.3088
Kenya,2020,7,-13.332307692307692
Kenya,2020,8,-11.08148148148148
Kenya,2020,9,-5.16557734204793
Kenya,2020,10,-0.7664
Kenya,2020,11,3.84742951907131
Kenya,2020,12,7.19134775374376
Kenya,2021,1,1.5616883116883118
Kenya,2021,2,4.903225806451613
Kenya,2021,3,12.135135135135135
Kuwait,2020,2,-2.0416666666666665
Kuwait,2020,3,-33.5
Kuwait,2020,4,-63.49166666666667
Kuwait,2020,5,-79.08064516129032
Kuwait,2020,6,-59.395833333333336
